Record Date,Parent ID,Classification ID,Classification Description,Current Month Gross Receipts Amount,Current Month Refund Amount,Current Month Net Receipts Amount,Current Fiscal Year to Date Gross Receipts Amount,Current Fiscal Year to Date Refund Amount,Current Fiscal Year to Date Net Receipts Amount,Prior Fiscal Year to Date Gross Receipts Amount,Prior Fiscal Year to Date Refund Amount,Prior Fiscal Year to Date Net Receipts Amount,Table Number,Source Line Number,Print Order Sequence Number,Line Code Number,Data Type Code,Record Type Code,Sequence Level Number,Sequence Number Code,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2020-04-30,41382618,41382624,Total -- On-Budget,154040385630.67,11988377314.75,142052008315.92,1476965683016.41,191750047658.40,1285215635358.01,1760336615877.19,248709606049.63,1511627009827.56,4,55,55,840,T,SL,2,8.1,2020,3,2020,2,04,30
2020-04-30,41382618,41382630,Total -- Off-Budget,99811000000.00,null,99811000000.00,560163857011.53,null,560163857011.53,531210847704.53,null,531210847704.53,4,56,56,850,T,SL,2,8.2,2020,3,2020,2,04,30
2020-04-30,null,41382391,Individual Income Taxes,null,null,null,null,null,null,null,null,null,4,1,1,100,D,RSG,1,1,2020,3,2020,2,04,30
2020-04-30,41382391,41382392,Withheld,79597564689.14,null,null,827737736712.04,null,null,818425291412.19,null,null,4,2,2,102,D,SRS,2,1.1,2020,3,2020,2,04,30
2020-04-30,41382391,41382394,Presidential Election Campaign Fund,4180200.00,null,null,14994468.00,null,null,20699399.00,null,null,4,3,3,105,D,SRS,2,1.2,2020,3,2020,2,04,30
2020-04-30,41382391,41382396,Other,650918866.32,null,null,175097212901.35,null,null,451265101056.82,null,null,4,4,4,110,D,SRS,2,1.3,2020,3,2020,2,04,30
2020-04-30,41382391,41382397,Total -- Individual Income Taxes,80252663755.46,4995738263.44,75256925492.02,1002849944081.39,158132945003.77,844716999077.62,1269711091868.01,213074518356.92,1056636573511.09,4,5,5,120,T,RSG,2,1.4,2020,3,2020,2,04,30
2020-04-30,null,41382399,Corporation Income Taxes,6506876263.57,2566485123.19,3940391140.38,112430691592.96,24236478754.54,88194212838.42,141683271742.63,29007770579.03,112675501163.60,4,6,6,130,D,RSG,1,2,2020,3,2020,2,04,30
2020-04-30,null,41382401,Social Insurance and Retirement Receipts:,null,null,null,null,null,null,null,null,null,4,7,7,140,S,RSG,1,3,2020,3,2020,2,04,30
2020-04-30,41382401,41382402,Employment and General Retirement:,null,null,null,null,null,null,null,null,null,4,8,8,150,S,RSG,2,3.1,2020,3,2020,2,04,30
2020-04-30,41382402,41382404,Federal Old-Age and Survivors Insurance Trust Fund:,null,null,null,null,null,null,null,null,null,4,9,9,160,S,RSG,3,3.1.1,2020,3,2020,2,04,30
2020-04-30,41382402,41382420,Federal Disability Insurance Trust Fund:,null,null,null,null,null,null,null,null,null,4,15,15,211,S,RSG,3,3.1.2,2020,3,2020,2,04,30
2020-03-31,40850860,40850862,Withheld,148377558214.55,null,null,748140172022.90,null,null,704567880278.53,null,null,4,2,2,102,D,SRS,2,1.1,2020,2,2020,1,03,31
2020-03-31,40850860,40850864,Presidential Election Campaign Fund,4392780.00,null,null,10814268.00,null,null,10907264.00,null,null,4,3,3,105,D,SRS,2,1.2,2020,2,2020,1,03,31
2020-03-31,40850860,40850866,Other,15289706603.52,null,null,174446294035.03,null,null,167767241924.30,null,null,4,4,4,110,D,SRS,2,1.3,2020,2,2020,1,03,31
2020-03-31,null,40850860,Individual Income Taxes,null,null,null,null,null,null,null,null,null,4,1,1,100,D,RSG,1,1,2020,2,2020,1,03,31
2020-03-31,40850860,40850869,Total -- Individual Income Taxes,163671657598.07,65356040081.74,98315617516.33,922597280325.93,153137206740.33,769460073585.60,872346029466.83,148518209786.90,723827819679.93,4,5,5,120,T,RSG,2,1.4,2020,2,2020,1,03,31
2020-03-31,null,40850871,Corporation Income Taxes,12165887269.54,1776176301.40,10389710968.14,105923815329.39,21669993631.35,84253821698.04,90588525841.46,22601169504.20,67987356337.26,4,6,6,130,D,RSG,1,2,2020,2,2020,1,03,31
2020-03-31,40850876,40850880,Federal Old-Age and Survivors Insurance Trust Fund:,null,null,null,null,null,null,null,null,null,4,9,9,160,S,RSG,3,3.1.1,2020,2,2020,1,03,31
2020-03-31,40850880,40850882,Federal Insurance Contributions Act Taxes,70388000000.00,null,70388000000.00,382478000000.00,null,382478000000.00,354380000000.00,null,354380000000.00,4,10,10,200,D,SRS,4,3.1.1.1,2020,2,2020,1,03,31
2020-03-31,40850880,40850891,Adjustments Attributable to Prior Years-FICA,9608456.92,null,9608456.92,1516202976.59,null,1516202976.59,-237154597.21,null,-237154597.21,4,12,12,209,D,SRS,4,3.1.1.3,2020,2,2020,1,03,31
2020-03-31,40850880,40850893,Adjustments Attrbutable to Prior Years-SECA,-120189.69,null,-120189.69,-121113137.96,null,-121113137.96,-1115203711.12,null,-1115203711.12,4,13,13,14360,D,SRS,4,3.1.1.4,2020,2,2020,1,03,31
2020-03-31,40850880,40850897,Total -- Federal Old-Age and Survivors Insurance Trust Fund,71548488267.23,null,71548488267.23,393450089838.63,null,393450089838.63,361837641691.67,null,361837641691.67,4,14,14,210,T,RSG,4,3.1.1.5,2020,2,2020,1,03,31
2020-03-31,40850876,40850899,Federal Disability Insurance Trust Fund:,null,null,null,null,null,null,null,null,null,4,15,15,211,S,RSG,3,3.1.2,2020,2,2020,1,03,31
2020-03-31,40850899,40850903,Federal Insurance Contributions Act Taxes,11953000000.00,null,11953000000.00,64949000000.00,null,64949000000.00,71814000000.00,null,71814000000.00,4,16,16,212,D,SRS,4,3.1.2.1,2020,2,2020,1,03,31
2020-03-31,40850899,40850906,Self-Employment Contributions Act Taxes,195000000.00,null,195000000.00,1624000000.00,null,1624000000.00,2069000000.00,null,2069000000.00,4,17,17,214,D,SRS,4,3.1.2.2,2020,2,2020,1,03,31
2020-03-31,40850899,40850913,Adjustments Attributable to Prior Years-FICA,1595230.58,null,1595230.58,372118899.29,null,372118899.29,-51449903.32,null,-51449903.32,4,18,18,219,D,SRS,4,3.1.2.3,2020,2,2020,1,03,31
2020-03-31,40850899,40850916,Adjustments Attributable to Prior Years-SECA,-22914.19,null,-22914.19,-42351726.39,null,-42351726.39,-267344083.82,null,-267344083.82,4,19,19,14361,D,SRS,4,3.1.2.4,2020,2,2020,1,03,31
2020-03-31,40850899,40850920,Total -- Federal Disability Insurance Trust Fund,12149572316.39,null,12149572316.39,66902767172.90,null,66902767172.90,73564206012.86,null,73564206012.86,4,20,20,220,T,RSG,4,3.1.2.5,2020,2,2020,1,03,31
2020-03-31,40850876,40850925,Federal Hospital Insurance Trust Fund:,null,null,null,null,null,null,null,null,null,4,21,21,221,S,RSG,3,3.1.3,2020,2,2020,1,03,31
2020-03-31,40850925,40850928,Federal Insurance Contributions Act Taxes,22219000000.00,null,22219000000.00,136790000000.00,null,136790000000.00,130738000000.00,null,130738000000.00,4,22,22,222,D,SRS,4,3.1.3.1,2020,2,2020,1,03,31
2020-03-31,null,40850874,Social Insurance and Retirement Receipts:,null,null,null,null,null,null,null,null,null,4,7,7,140,S,RSG,1,3,2020,2,2020,1,03,31
2020-03-31,40850874,40850876,Employment and General Retirement:,null,null,null,null,null,null,null,null,null,4,8,8,150,S,RSG,2,3.1,2020,2,2020,1,03,31
2020-03-31,40850880,40850885,Self-Employment Contributions Act Taxes,1151000000.00,null,1151000000.00,9577000000.00,null,9577000000.00,8810000000.00,null,8810000000.00,4,11,11,204,D,SRS,4,3.1.1.2,2020,2,2020,1,03,31
2020-03-31,40850925,40850932,Self-Employment Contributions Act Taxes,751000000.00,null,751000000.00,4490000000.00,null,4490000000.00,4355000000.00,null,4355000000.00,4,23,23,224,D,SRS,4,3.1.3.2,2020,2,2020,1,03,31
2020-03-31,40850925,40850944,Adjustments Attributable to Prior Years-FICA,1178593.17,null,1178593.17,267174321.78,null,267174321.78,-188085256.11,null,-188085256.11,4,24,24,228,D,SRS,4,3.1.3.3,2020,2,2020,1,03,31
2020-03-31,40850925,40850948,Adjustments Attributable to Prior Years-SECA,529894.54,null,529894.54,-17238631.54,null,-17238631.54,-480723387.08,null,-480723387.08,4,25,25,14362,D,SRS,4,3.1.3.4,2020,2,2020,1,03,31
2020-03-31,40850925,40850952,Total -- Federal Hospital Insurance Trust Fund,22971708487.71,null,22971708487.71,141529935690.24,null,141529935690.24,134424191356.81,null,134424191356.81,4,26,26,229,T,RSG,4,3.1.3.5,2020,2,2020,1,03,31
2020-03-31,40850876,40850957,Railroad Retirement:,null,null,null,null,null,null,null,null,null,4,27,27,230,S,RSG,3,3.1.4,2020,2,2020,1,03,31
2020-03-31,40850957,40850960,Rail Pension and Supplemental Annuity,302710823.93,19380615.35,283330208.58,1545976913.57,65477169.27,1480499744.30,1602112604.60,-158001.83,1602270606.43,4,28,28,235,D,RSG,4,3.1.4.1,2020,2,2020,1,03,31
2020-03-31,40850957,40850965,Social Security Equivalent Account,232763576.10,21007189.75,211756386.35,1435382516.70,66612987.25,1368769529.45,1473173847.78,-187984.97,1473361832.75,4,29,29,240,D,RSG,4,3.1.4.2,2020,2,2020,1,03,31
2020-03-31,40850876,40850968,Total -- Employment and General Retirement,107205243471.36,40387805.10,107164855666.26,604864152132.04,132090156.52,604732061975.52,572901325513.72,-345986.80,572901671500.52,4,30,30,241,T,RSG,3,3.1.5,2020,2,2020,1,03,31
2020-03-31,40850874,40850971,Unemployment Insurance:,null,null,null,null,null,null,null,null,null,4,31,31,250,S,RSG,2,3.2,2020,2,2020,1,03,31
2020-03-31,40850971,40850973,Deposits by States,273971726.20,null,273971726.20,9186444431.33,null,9186444431.33,9627596413.47,null,9627596413.47,4,32,32,251,D,RSG,3,3.2.1,2020,2,2020,1,03,31
2020-03-31,40850971,40850977,Federal Unemployment Taxes,42062902.65,20294306.17,21768596.48,1999829841.97,52131344.34,1947698497.63,2007827588.83,86537796.05,1921289792.78,4,33,33,254,D,RSG,3,3.2.2,2020,2,2020,1,03,31
2020-03-31,40850971,40850979,Railroad Unemployment Taxes,286161.16,null,286161.16,61036752.01,null,61036752.01,68149036.60,null,68149036.60,4,34,34,255,D,RSG,3,3.2.3,2020,2,2020,1,03,31
2020-03-31,40850971,40850985,Total -- Unemployment Insurance,316320790.01,20294306.17,296026483.84,11247311025.31,52131344.34,11195179680.97,11703573038.90,86537796.05,11617035242.85,4,35,35,269,T,RSG,3,3.2.4,2020,2,2020,1,03,31
2020-03-31,40850874,40850989,Other Retirement:,null,null,null,null,null,null,null,null,null,4,36,36,270,S,RSG,2,3.3,2020,2,2020,1,03,31
2020-03-31,40850989,40850991,Federal Employees' Retirement--Employee Share,402112356.43,null,402112356.43,2535283653.71,null,2535283653.71,2297585831.27,null,2297585831.27,4,37,37,279,D,RSG,3,3.3.1,2020,2,2020,1,03,31
2020-03-31,40850989,40850995,Non-Federal Employees Retirement,2882247.25,null,2882247.25,15368730.42,null,15368730.42,13971807.45,null,13971807.45,4,38,38,284,D,RSG,3,3.3.2,2020,2,2020,1,03,31
2020-03-31,40850989,40850997,Total -- Other Retirement,404994603.68,null,404994603.68,2550652384.13,null,2550652384.13,2311557638.72,null,2311557638.72,4,39,39,285,T,RSG,3,3.3.3,2020,2,2020,1,03,31
2020-03-31,40850874,40851001,Total -- Social Insurance and Retirement Receipts,107926558865.05,60682111.27,107865876753.78,618662115541.48,184221500.86,618477894040.62,586916456191.34,86191809.25,586830264382.09,4,40,40,286,T,RSG,2,3.4,2020,2,2020,1,03,31
2020-03-31,null,40851003,Excise Taxes:,null,null,null,null,null,null,null,null,null,4,41,41,300,S,RSG,1,4,2020,2,2020,1,03,31
2020-03-31,40851003,40851007,Miscellaneous Excise Taxes,2344662164.60,461998565.05,1882663599.55,12564150096.15,1616168068.31,10947982027.84,26493161771.93,3745828552.07,22747333219.86,4,42,42,305,D,RSG,2,4.1,2020,2,2020,1,03,31
2020-03-31,40851003,40851009,Airport and Airway Trust Fund,1291336000.00,null,1291336000.00,9016070487.99,6641069.16,9009429418.83,6936209520.71,7926495.75,6928283024.96,4,43,43,308,D,RSG,2,4.2,2020,2,2020,1,03,31
2020-03-31,40851003,40851013,Highway Trust Fund,3248061382.21,30672000.00,3217389382.21,20079978627.84,163985000.00,19915993627.84,19755625703.39,164559000.00,19591066703.39,4,44,44,310,D,RSG,2,4.3,2020,2,2020,1,03,31
2020-03-31,40851003,40851015,Black Lung Disability Trust Fund,23412000.00,null,23412000.00,100737600.00,null,100737600.00,132440597.00,null,132440597.00,4,45,45,313,D,RSG,2,4.4,2020,2,2020,1,03,31
2020-03-31,40851003,40851019,Total -- Excise Taxes,6907471546.81,492670565.05,6414800981.76,41760936811.98,1786794137.47,39974142674.51,53317437593.03,3918314047.82,49399123545.21,4,46,46,314,T,RSG,2,4.5,2020,2,2020,1,03,31
2020-03-31,null,40851021,Estate and Gift Taxes,1197875724.79,-19027876.74,1216903601.53,10115207194.98,326310050.26,9788897144.72,8713087155.23,422754869.81,8290332285.42,4,47,47,350,D,RSG,1,5,2020,2,2020,1,03,31
2020-03-31,null,40851027,Miscellaneous Receipts:,null,null,null,null,null,null,null,null,null,4,49,49,800,S,RSG,1,7,2020,2,2020,1,03,31
2020-03-31,null,40851025,Customs Duties,5402539264.89,587789272.78,4814749992.11,41799649258.29,2634395997.82,39165253260.47,35877208536.02,1183189348.17,34694019187.85,4,48,48,405,D,RSG,1,6,2020,2,2020,1,03,31
2020-03-31,40851027,40851031,Deposit of Earnings, Federal Reserve System,6068310417.47,null,6068310417.47,31008598355.68,null,31008598355.68,25372720450.91,null,25372720450.91,4,50,50,805,D,RSG,2,7.1,2020,2,2020,1,03,31
2020-03-31,40851027,40851033,Universal Service Fund,648245440.57,null,648245440.57,4508978151.44,null,4508978151.44,4880434683.07,null,4880434683.07,4,51,51,807,D,RSG,2,7.2,2020,2,2020,1,03,31
2020-03-31,40851027,40851037,All Other,1051186176.68,19170316.57,1032015860.11,6901573428.10,22748285.56,6878825142.54,6030593770.27,19337165.51,6011256604.76,4,52,52,810,D,RSG,2,7.3,2020,2,2020,1,03,31
2020-03-31,40851027,40851039,Total -- Miscellaneous Receipts,7767742034.72,19170316.57,7748571718.15,42419149935.22,22748285.56,42396401649.66,36283748904.25,19337165.51,36264411738.74,4,53,53,820,T,RSG,2,7.4,2020,2,2020,1,03,31
2020-03-31,null,40851043,Total -- Receipts,305039732303.87,68273500772.07,236766231531.80,1783278154397.27,179761670343.65,1603516484053.62,1684042493688.16,176749166531.66,1507293327156.50,4,54,54,830,T,SL,1,8,2020,2,2020,1,03,31
2020-03-31,40851043,40851048,Total -- On-Budget,221341671720.25,68273500772.07,153068170948.18,1322925297385.74,179761670343.65,1143163627042.09,1248640645983.63,176749166531.66,1071891479451.97,4,55,55,840,T,SL,2,8.1,2020,2,2020,1,03,31
2020-03-31,40851043,40851053,Total -- Off-Budget,83698060583.62,null,83698060583.62,460352857011.53,null,460352857011.53,435401847704.53,null,435401847704.53,4,56,56,850,T,SL,2,8.2,2020,2,2020,1,03,31
2020-02-29,null,40470390,Excise Taxes:,null,null,null,null,null,null,null,null,null,4,41,41,300,S,RSG,1,4,2020,2,2020,1,02,29
2020-02-29,null,40470175,Individual Income Taxes,null,null,null,null,null,null,null,null,null,4,1,1,100,D,RSG,1,1,2020,2,2020,1,02,29
2020-02-29,40470175,40470176,Withheld,122598590690.15,null,null,599762613808.35,null,null,568798175893.65,null,null,4,2,2,102,D,SRS,2,1.1,2020,2,2020,1,02,29
2020-02-29,40470175,40470178,Presidential Election Campaign Fund,4226508.00,null,null,6421488.00,null,null,6096446.00,null,null,4,3,3,105,D,SRS,2,1.2,2020,2,2020,1,02,29
2020-02-29,40470175,40470180,Other,11157131392.79,null,null,159156587431.51,null,null,150883175406.30,null,null,4,4,4,110,D,SRS,2,1.3,2020,2,2020,1,02,29
2020-02-29,40470175,40470182,Total -- Individual Income Taxes,133759948590.94,64133659865.25,69626288725.69,758925622727.86,87781166658.59,671144456069.27,719687447745.95,93095713525.52,626591734220.43,4,5,5,120,T,RSG,2,1.4,2020,2,2020,1,02,29
2020-02-29,40470188,40470300,Railroad Retirement:,null,null,null,null,null,null,null,null,null,4,27,27,230,S,RSG,3,3.1.4,2020,2,2020,1,02,29
2020-02-29,40470186,40470324,Unemployment Insurance:,null,null,null,null,null,null,null,null,null,4,31,31,250,S,RSG,2,3.2,2020,2,2020,1,02,29
2020-02-29,40470324,40470330,Deposits by States,2161463679.13,null,2161463679.13,8912472705.13,null,8912472705.13,9336546676.71,null,9336546676.71,4,32,32,251,D,RSG,3,3.2.1,2020,2,2020,1,02,29
2020-02-29,40470210,40470227,Adjustments Attributable to Prior Years-FICA,null,null,null,370523668.71,null,370523668.71,-53960351.22,null,-53960351.22,4,18,18,219,D,SRS,4,3.1.2.3,2020,2,2020,1,02,29
2020-02-29,40470210,40470232,Adjustments Attributable to Prior Years-SECA,null,null,null,-42328812.20,null,-42328812.20,-267170917.96,null,-267170917.96,4,19,19,14361,D,SRS,4,3.1.2.4,2020,2,2020,1,02,29
2020-02-29,40470210,40470238,Total -- Federal Disability Insurance Trust Fund,11005000000.00,null,11005000000.00,54753194856.51,null,54753194856.51,61986868730.82,null,61986868730.82,4,20,20,220,T,RSG,4,3.1.2.5,2020,2,2020,1,02,29
2020-02-29,40470188,40470244,Federal Hospital Insurance Trust Fund:,null,null,null,null,null,null,null,null,null,4,21,21,221,S,RSG,3,3.1.3,2020,2,2020,1,02,29
2020-02-29,40470244,40470253,Federal Insurance Contributions Act Taxes,20589000000.00,null,20589000000.00,114571000000.00,null,114571000000.00,109608000000.00,null,109608000000.00,4,22,22,222,D,SRS,4,3.1.3.1,2020,2,2020,1,02,29
2020-02-29,40470244,40470262,Self-Employment Contributions Act Taxes,183000000.00,null,183000000.00,3739000000.00,null,3739000000.00,3630000000.00,null,3630000000.00,4,23,23,224,D,SRS,4,3.1.3.2,2020,2,2020,1,02,29
2020-02-29,40470244,40470283,Adjustments Attributable to Prior Years-FICA,null,null,null,265995728.61,null,265995728.61,-189590322.36,null,-189590322.36,4,24,24,228,D,SRS,4,3.1.3.3,2020,2,2020,1,02,29
2020-02-29,40470244,40470289,Adjustments Attributable to Prior Years-SECA,null,null,null,-17768526.08,null,-17768526.08,-480665669.21,null,-480665669.21,4,25,25,14362,D,SRS,4,3.1.3.4,2020,2,2020,1,02,29
2020-02-29,40470244,40470295,Total -- Federal Hospital Insurance Trust Fund,20772000000.00,null,20772000000.00,118558227202.53,null,118558227202.53,112567744008.43,null,112567744008.43,4,26,26,229,T,RSG,4,3.1.3.5,2020,2,2020,1,02,29
2020-02-29,40470300,40470306,Rail Pension and Supplemental Annuity,311738850.09,-6840455.22,318579305.31,1243266089.64,46096553.92,1197169535.72,1312783758.53,-181896.99,1312965655.52,4,28,28,235,D,RSG,4,3.1.4.1,2020,2,2020,1,02,29
2020-02-29,40470300,40470312,Social Security Equivalent Account,323262564.91,-10145416.30,333407981.21,1202618940.60,45605797.50,1157013143.10,1225190180.78,-208692.80,1225398873.58,4,29,29,240,D,RSG,4,3.1.4.2,2020,2,2020,1,02,29
2020-02-29,40470188,40470318,Total -- Employment and General Retirement,97222001415.00,-16985871.52,97238987286.52,497658908660.68,91702351.42,497567206309.26,471110641799.85,-390589.79,471111032389.64,4,30,30,241,T,RSG,3,3.1.5,2020,2,2020,1,02,29
2020-02-29,40470324,40470336,Federal Unemployment Taxes,120008529.88,2915620.77,117092909.11,1957766939.32,31837038.17,1925929901.15,1951170647.70,13384314.73,1937786332.97,4,33,33,254,D,RSG,3,3.2.2,2020,2,2020,1,02,29
2020-02-29,40470324,40470342,Railroad Unemployment Taxes,745975.04,null,745975.04,60750590.85,null,60750590.85,68107966.07,null,68107966.07,4,34,34,255,D,RSG,3,3.2.3,2020,2,2020,1,02,29
2020-02-29,40470324,40470354,Total -- Unemployment Insurance,2282218184.05,2915620.77,2279302563.28,10930990235.30,31837038.17,10899153197.13,11355825290.48,13384314.73,11342440975.75,4,35,35,269,T,RSG,3,3.2.4,2020,2,2020,1,02,29
2020-02-29,40470186,40470360,Other Retirement:,null,null,null,null,null,null,null,null,null,4,36,36,270,S,RSG,2,3.3,2020,2,2020,1,02,29
2020-02-29,40470390,40470396,Miscellaneous Excise Taxes,320047596.35,154860597.34,165186999.01,10219487931.55,1154169503.26,9065318428.29,23491842403.58,3530178232.97,19961664170.61,4,42,42,305,D,RSG,2,4.1,2020,2,2020,1,02,29
2020-02-29,40470390,40470402,Airport and Airway Trust Fund,2860993487.99,6641069.16,2854352418.83,7724734487.99,6641069.16,7718093418.83,5767297000.00,null,5767297000.00,4,43,43,308,D,RSG,2,4.2,2020,2,2020,1,02,29
2020-02-29,null,40470426,Miscellaneous Receipts:,null,null,null,null,null,null,null,null,null,4,49,49,800,S,RSG,1,7,2020,2,2020,1,02,29
2020-02-29,40470190,40470192,Federal Insurance Contributions Act Taxes,64395000000.00,null,64395000000.00,312090000000.00,null,312090000000.00,287637000000.00,null,287637000000.00,4,10,10,200,D,SRS,4,3.1.1.1,2020,2,2020,1,02,29
2020-02-29,40470190,40470194,Self-Employment Contributions Act Taxes,415000000.00,null,415000000.00,8426000000.00,null,8426000000.00,7745000000.00,null,7745000000.00,4,11,11,204,D,SRS,4,3.1.1.2,2020,2,2020,1,02,29
2020-02-29,40470190,40470201,Adjustments Attributable to Prior Years-FICA,null,null,null,1506594519.67,null,1506594519.67,-249770330.59,null,-249770330.59,4,12,12,209,D,SRS,4,3.1.1.3,2020,2,2020,1,02,29
2020-02-29,40470190,40470204,Adjustments Attrbutable to Prior Years-SECA,null,null,null,-120992948.27,null,-120992948.27,-1114174548.12,null,-1114174548.12,4,13,13,14360,D,SRS,4,3.1.1.4,2020,2,2020,1,02,29
2020-02-29,40470190,40470207,Total -- Federal Old-Age and Survivors Insurance Trust Fund,64810000000.00,null,64810000000.00,321901601571.40,null,321901601571.40,294018055121.29,null,294018055121.29,4,14,14,210,T,RSG,4,3.1.1.5,2020,2,2020,1,02,29
2020-02-29,40470188,40470210,Federal Disability Insurance Trust Fund:,null,null,null,null,null,null,null,null,null,4,15,15,211,S,RSG,3,3.1.2,2020,2,2020,1,02,29
2020-02-29,40470210,40470213,Federal Insurance Contributions Act Taxes,10935000000.00,null,10935000000.00,52996000000.00,null,52996000000.00,60479000000.00,null,60479000000.00,4,16,16,212,D,SRS,4,3.1.2.1,2020,2,2020,1,02,29
2020-02-29,40470210,40470217,Self-Employment Contributions Act Taxes,70000000.00,null,70000000.00,1429000000.00,null,1429000000.00,1829000000.00,null,1829000000.00,4,17,17,214,D,SRS,4,3.1.2.2,2020,2,2020,1,02,29
2020-02-29,40470390,40470407,Highway Trust Fund,3671773157.71,30670000.00,3641103157.71,16831917245.63,133313000.00,16698604245.63,15836177407.31,133778000.00,15702399407.31,4,44,44,310,D,RSG,2,4.3,2020,2,2020,1,02,29
2020-02-29,40470390,40470410,Black Lung Disability Trust Fund,23908600.00,null,23908600.00,77325600.00,null,77325600.00,126329000.00,null,126329000.00,4,45,45,313,D,RSG,2,4.4,2020,2,2020,1,02,29
2020-02-29,40470390,40470415,Total -- Excise Taxes,6876722842.05,192171666.50,6684551175.55,34853465265.17,1294123572.42,33559341692.75,45221645810.89,3663956232.97,41557689577.92,4,46,46,314,T,RSG,2,4.5,2020,2,2020,1,02,29
2020-02-29,null,40470418,Estate and Gift Taxes,1730576777.03,146249946.32,1584326830.71,8917331470.19,345337927.00,8571993543.19,7710504166.38,355340725.85,7355163440.53,4,47,47,350,D,RSG,1,5,2020,2,2020,1,02,29
2020-02-29,null,40470421,Customs Duties,6694228281.97,407985708.62,6286242573.35,36397109993.40,2046606725.04,34350503268.36,30494898462.62,963553486.02,29531344976.60,4,48,48,405,D,RSG,1,6,2020,2,2020,1,02,29
2020-02-29,40470426,40470430,Deposit of Earnings, Federal Reserve System,4133666664.21,null,4133666664.21,24940287938.21,null,24940287938.21,21166696973.45,null,21166696973.45,4,50,50,805,D,RSG,2,7.1,2020,2,2020,1,02,29
2020-02-29,40470426,40470434,Universal Service Fund,646566627.37,null,646566627.37,3860732710.87,null,3860732710.87,4073604209.05,null,4073604209.05,4,51,51,807,D,RSG,2,7.2,2020,2,2020,1,02,29
2020-02-29,40470426,40470438,All Other,1112809898.91,1014056.54,1111795842.37,5850387251.42,3577968.99,5846809282.43,4624550978.25,18779433.05,4605771545.20,4,52,52,810,D,RSG,2,7.3,2020,2,2020,1,02,29
2020-02-29,40470426,40470442,Total -- Miscellaneous Receipts,5893043190.49,1014056.54,5892029133.95,34651407900.50,3577968.99,34647829931.51,29864852160.75,18779433.05,29846072727.70,4,53,53,820,T,RSG,2,7.4,2020,2,2020,1,02,29
2020-02-29,null,40470446,Total -- Receipts,259223779237.09,71273239587.04,187950539650.05,1478238422093.40,111488169571.58,1366750252521.82,1394381299016.47,115899202348.93,1278482096667.54,4,54,54,830,T,SL,1,8,2020,2,2020,1,02,29
2020-02-29,40470446,40470449,Total -- On-Budget,183408779237.09,71273239587.04,112135539650.05,1101583625665.49,111488169571.58,990095456093.91,1038376375164.36,115899202348.93,922477172815.43,4,55,55,840,T,SL,2,8.1,2020,2,2020,1,02,29
2020-02-29,40470446,40470452,Total -- Off-Budget,75815000000.00,null,75815000000.00,376654796427.91,null,376654796427.91,356004923852.11,null,356004923852.11,4,56,56,850,T,SL,2,8.2,2020,2,2020,1,02,29
2020-02-29,40470360,40470372,Non-Federal Employees Retirement,2354672.40,null,2354672.40,12486483.17,null,12486483.17,11924515.87,null,11924515.87,4,38,38,284,D,RSG,3,3.3.2,2020,2,2020,1,02,29
2020-02-29,40470360,40470378,Total -- Other Retirement,400113144.06,null,400113144.06,2145657780.45,null,2145657780.45,1952364890.56,null,1952364890.56,4,39,39,285,T,RSG,3,3.3.3,2020,2,2020,1,02,29
2020-02-29,40470186,40470384,Total -- Social Insurance and Retirement Receipts,99904332743.11,-14070250.75,99918402993.86,510735556676.43,123539389.59,510612017286.84,484418831980.89,12993724.94,484405838255.95,4,40,40,286,T,RSG,2,3.4,2020,2,2020,1,02,29
2020-02-29,40470360,40470366,Federal Employees' Retirement--Employee Share,397758471.66,null,397758471.66,2133171297.28,null,2133171297.28,1940440374.69,null,1940440374.69,4,37,37,279,D,RSG,3,3.3.1,2020,2,2020,1,02,29
2020-02-29,null,40470184,Corporation Income Taxes,4364926811.50,6406228594.56,-2041301783.06,93757928059.85,19893817329.95,73864110729.90,76983118688.99,17788865220.58,59194253468.41,4,6,6,130,D,RSG,1,2,2020,2,2020,1,02,29
2020-02-29,null,40470186,Social Insurance and Retirement Receipts:,null,null,null,null,null,null,null,null,null,4,7,7,140,S,RSG,1,3,2020,2,2020,1,02,29
2020-02-29,40470186,40470188,Employment and General Retirement:,null,null,null,null,null,null,null,null,null,4,8,8,150,S,RSG,2,3.1,2020,2,2020,1,02,29
2020-02-29,40470188,40470190,Federal Old-Age and Survivors Insurance Trust Fund:,null,null,null,null,null,null,null,null,null,4,9,9,160,S,RSG,3,3.1.1,2020,2,2020,1,02,29
2020-01-31,null,40183385,Corporation Income Taxes,11618707551.63,1127060824.71,10491646726.92,89393001248.35,13487588735.39,75905412512.96,73209223326.21,13346435870.20,59862787456.01,4,6,6,130,D,RSG,1,2,2020,2,2020,1,01,31
2020-01-31,null,40183390,Social Insurance and Retirement Receipts:,null,null,null,null,null,null,null,null,null,4,7,7,140,S,RSG,1,3,2020,2,2020,1,01,31
2020-01-31,40183390,40183395,Employment and General Retirement:,null,null,null,null,null,null,null,null,null,4,8,8,150,S,RSG,2,3.1,2020,2,2020,1,01,31
